"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Conservative_6"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"	"<greek>m</greek><sub>t</sub>"
0	-2.121321000000000e-02	0.000000000000000e+00	1.225262334107424e+00	8.346713223407096e+01	2.244796631679379e-02	2.562726460809756e+05	2.489450484777967e-01	2.374390263971793e+03	1.013717493125876e+05	2.882160774188786e+02	2.529590769552149e-02	2.001605465167661e-01	1.789616424651109e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.284637137359461e-04	
1	-2.315254950000000e-02	0.000000000000000e+00	1.225355570455668e+00	8.346803290526999e+01	2.912581394806397e-02	2.562969706250371e+05	2.500782638032197e-01	2.384580708758722e+03	1.013815404965387e+05	2.882219830646196e+02	2.874788342217941e-02	2.001454306042950e-01	1.789644915453004e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.285067821283422e-04	
2	-2.509188900000000e-02	0.000000000000000e+00	1.225415450252444e+00	8.347237176215974e+01	3.379529551699562e-02	2.563134596585019e+05	2.516666816941721e-01	2.398855661683592e+03	1.013880726249434e+05	2.882264686918023e+02	3.105084788583900e-02	2.001445008124384e-01	1.789666555424895e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.285597316234335e-04	
3	-2.703122850000000e-02	0.000000000000000e+00	1.225476071381553e+00	8.347980073436666e+01	3.696027227046719e-02	2.563301405721674e+05	2.532767888555537e-01	2.413414632252669e+03	1.013945979957147e+05	2.882307603101981e+02	3.335142988108394e-02	2.001509251167873e-01	1.789687259290330e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.286080891527029e-04	
4	-2.897056800000000e-02	0.000000000000000e+00	1.225534169088699e+00	8.348688690033443e+01	3.953980866457534e-02	2.563461486122429e+05	2.549105681444273e-01	2.428244705645646e+03	1.014008612054963e+05	2.882348997908304e+02	3.555958450724336e-02	2.001569912607122e-01	1.789707229063835e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.286532657130941e-04	
5	-3.090990750000000e-02	0.000000000000000e+00	1.225589968608452e+00	8.349346608884667e+01	4.192387962139692e-02	2.563615006655018e+05	2.565720925716484e-01	2.443365791733834e+03	1.014068736864150e+05	2.882388667040582e+02	3.767934227012011e-02	2.001622764317724e-01	1.789726366204487e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.286963188050667e-04	
6	-3.284924700000000e-02	0.000000000000000e+00	1.225642486417651e+00	8.349931908835025e+01	4.413164770685909e-02	2.563759290431316e+05	2.582616086599191e-01	2.458777701224670e+03	1.014125334247921e+05	2.882426024463584e+02	3.967473726980809e-02	2.001664362605798e-01	1.789744388017031e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.287372990395935e-04	
7	-3.478858650000000e-02	0.000000000000000e+00	1.225690866903763e+00	8.350436830201973e+01	4.615210648338820e-02	2.563892004999095e+05	2.599793159675792e-01	2.474480291467583e+03	1.014177484445584e+05	2.882460468808917e+02	4.151334246169584e-02	2.001694455270127e-01	1.789761004415263e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.287762421365582e-04	
8	-3.672792600000000e-02	0.000000000000000e+00	1.225734403264564e+00	8.350858949425066e+01	4.796734406904670e-02	2.564011251387328e+05	2.617251762404600e-01	2.490471256146860e+03	1.014224427928405e+05	2.882491504288275e+02	4.316837993249199e-02	2.001713789356322e-01	1.789775976250642e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.288131922574547e-04	
9	-3.866726550000000e-02	0.000000000000000e+00	1.225772634381320e+00	8.351201111922360e+01	4.956695060527250e-02	2.564115816715231e+05	2.634990505432374e-01	2.506746956329242e+03	1.014265667521673e+05	2.882518803038050e+02	4.462232131126023e-02	2.001723915101556e-01	1.789789145385058e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.288482367705881e-04	
10	-4.060660500000000e-02	0.000000000000000e+00	1.225805387996489e+00	8.351470842187618e+01	5.095066348123287e-02	2.564205288047888e+05	2.653007500482787e-01	2.523302891455601e+03	1.014301015954506e+05	2.882542238629355e+02	4.586856418369898e-02	2.001726962279757e-01	1.789800450853208e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.288815108015497e-04	
11	-4.254594450000000e-02	0.000000000000000e+00	1.225832797298807e+00	8.351679565260909e+01	5.212875877002955e-02	2.564280091715521e+05	2.671300863648038e-01	2.540134274184573e+03	1.014330613863323e+05	2.882561898156683e+02	4.691206682142140e-02	2.001725422303896e-01	1.789809934691629e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.289131934289707e-04	
12	-4.448528400000000e-02	0.000000000000000e+00	1.225855286680910e+00	8.351841433276468e+01	5.312098337898864e-02	2.564341447981175e+05	2.689869204519670e-01	2.557236627016816e+03	1.014354914725249e+05	2.882578072862679e+02	4.776881699510840e-02	2.001721893543945e-01	1.789817737414308e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.289434990148605e-04	
13	-4.642462350000000e-02	0.000000000000000e+00	1.225873526789402e+00	8.351971912929442e+01	5.395478720946680e-02	2.564391242744238e+05	2.708712061293406e-01	2.574606348503947e+03	1.014374636972447e+05	2.882591227735206e+02	4.846414371903650e-02	2.001718826832893e-01	1.789824083345491e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.289726644886787e-04	
14	-4.836396300000000e-02	0.000000000000000e+00	1.225888367087501e+00	8.352086354920330e+01	5.466339332346962e-02	2.564431839169453e+05	2.727830248129643e-01	2.592241198315563e+03	1.014390691916808e+05	2.882601955267294e+02	4.903017616726935e-02	2.001718308877268e-01	1.789829258313522e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.290009344373634e-04	
