TITLE = "SU2 Simulation"
VARIABLES = "Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Res_Turb[0]","Linear_Solver_Iterations","CFL_Number","Time(min)"
ZONE T= "Convergence history"
           0, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.45847694e+00, -9.20833850e-01, -6.13872841e+00, -1.48152952e+01, 2.00400575e+00, -7.6311118646, 0.0000000000, 0.8000000000, 0.0138790833
           1, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.47256815e+00, -9.00596606e-01, -1.80186192e+00, -1.72891739e+00, 1.98743438e+00, -7.5732415711, 0.0000000000, 0.8000000000, 0.0275329667
           2, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.47587611e+00, -8.99302208e-01, -1.77666000e+00, -1.69259058e+00, 1.98352951e+00, -7.5763680717, 0.0000000000, 0.8000000000, 0.0406541500
           3, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.47830477e+00, -8.98135913e-01, -1.73515202e+00, -1.64007527e+00, 1.98058149e+00, -7.5824615502, 0.0000000000, 0.8000000000, 0.0543145500
           4, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.48020904e+00, -8.97104531e-01, -1.69782447e+00, -1.59497249e+00, 1.97826586e+00, -7.5894899983, 0.0000000000, 0.8000000000, 0.0673740167
           5, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.48162661e+00, -8.96171848e-01, -1.66900236e+00, -1.56039441e+00, 1.97659395e+00, -7.5960844660, 0.0000000000, 0.8000000000, 0.0807761667
           6, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.48259787e+00, -8.95324734e-01, -1.64834537e+00, -1.53479711e+00, 1.97554043e+00, -7.6015242812, 0.0000000000, 0.8000000000, 0.0939521500
           7, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.48323546e+00, -8.94572414e-01, -1.63439276e+00, -1.51592318e+00, 1.97496755e+00, -7.6044438098, 0.0000000000, 0.8000000000, 0.1070355167
           8, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.48369940e+00, -8.93943551e-01, -1.62553985e+00, -1.50179046e+00, 1.97466652e+00, -7.6070902137, 0.0000000000, 0.8000000000, 0.1200976833
           9, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.48414823e+00, -8.93466811e-01, -1.62026170e+00, -1.49079392e+00, 1.97442770e+00, -7.6115014874, 0.0000000000, 0.8000000000, 0.1341050500
          10, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.48470933e+00, -8.93155453e-01, -1.61719221e+00, -1.48166246e+00, 1.97408423e+00, -7.6133979814, 0.0000000000, 0.8000000000, 0.1486892500
          11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.48548705e+00, -8.93032515e-01, -1.61528125e+00, -1.47348235e+00, 1.97350385e+00, -7.6133623657, 0.0000000000, 0.8000000000, 0.1631373500
          12, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.48656329e+00, -8.93129468e-01, -1.61382945e+00, -1.46564718e+00, 1.97258610e+00, -7.6109685980, 0.0000000000, 0.8000000000, 0.1776592833
          13, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.48796961e+00, -8.93461617e-01, -1.61246755e+00, -1.45775421e+00, 1.97129324e+00, -7.6145117639, 0.0000000000, 0.8000000000, 0.1910798667
          14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.48967597e+00, -8.94027587e-01, -1.61102967e+00, -1.44974239e+00, 1.96966283e+00, -7.6162104159, 0.0000000000, 0.8000000000, 0.2046947667
          15, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.49159553e+00, -8.94795104e-01, -1.60957469e+00, -1.44193264e+00, 1.96780113e+00, -7.6159886560, 0.0000000000, 0.8000000000, 0.2192842333
          16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.49361600e+00, -8.95722388e-01, -1.60834470e+00, -1.43477379e+00, 1.96584510e+00, -7.6160144723, 0.0000000000, 0.8000000000, 0.2332131333
          17, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.49563490e+00, -8.96771045e-01, -1.60764341e+00, -1.42855571e+00, 1.96391895e+00, -7.6151957108, 0.0000000000, 0.8000000000, 0.2473867167
          18, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.49758493e+00, -8.97910027e-01, -1.60773295e+00, -1.42331358e+00, 1.96210251e+00, -7.6119227532, 0.0000000000, 0.8000000000, 0.2665922000
          19, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.49943757e+00, -8.99119541e-01, -1.60877059e+00, -1.41887446e+00, 1.96042705e+00, -7.6095870554, 0.0000000000, 0.8000000000, 0.2813952833
          20, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.50119354e+00, -9.00389104e-01, -1.61077651e+00, -1.41500461e+00, 1.95888713e+00, -7.6102050650, 0.0000000000, 0.8000000000, 0.2953488833
          21, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.50287688e+00, -9.01721193e-01, -1.61361698e+00, -1.41146302e+00, 1.95744812e+00, -7.6074783842, 0.0000000000, 0.8000000000, 0.3208904000
          22, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.50453813e+00, -9.03126717e-01, -1.61706720e+00, -1.40799445e+00, 1.95604347e+00, -7.6064105800, 0.0000000000, 0.8000000000, 0.3330094833
          23, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.50625422e+00, -9.04628645e-01, -1.62085564e+00, -1.40433098e+00, 1.95457609e+00, -7.6035484613, 0.0000000000, 0.8000000000, 0.3445307167
          24, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.50810240e+00, -9.06249177e-01, -1.62470964e+00, -1.40024522e+00, 1.95294907e+00, -7.5995501117, 0.0000000000, 0.8000000000, 0.3574901500
          25, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.51011807e+00, -9.08002654e-01, -1.62842441e+00, -1.39570239e+00, 1.95111649e+00, -7.6026909516, 0.0000000000, 0.8000000000, 0.3704366667
          26, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.51226756e+00, -9.09889799e-01, -1.63188619e+00, -1.39100794e+00, 1.94911625e+00, -7.6006053675, 0.0000000000, 0.8000000000, 0.3836421000
          27, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.51445512e+00, -9.11898962e-01, -1.63505817e+00, -1.38672305e+00, 1.94706233e+00, -7.5993714568, 0.0000000000, 0.8000000000, 0.3972668167
          28, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.51657630e+00, -9.14010915e-01, -1.63795939e+00, -1.38335074e+00, 1.94508256e+00, -7.5813100433, 0.0000000000, 0.8000000000, 0.4112121333
